Sex,Pclass,Age,Fare,num.together
male,3,22,7.25,1
female,1,38,71.2833,1
female,3,26,7.925,1
female,1,35,53.1,2
male,3,35,8.05,1
male,3,36.1005551884499,8.4583,1
male,1,54,51.8625,1
male,3,2,21.075,4
female,3,27,11.1333,3
female,2,14,30.0708,2
female,3,4,16.7,2
female,1,58,26.55,1
male,3,20,8.05,1
male,3,39,31.275,7
female,3,14,7.8542,1
female,2,55,16,1
male,3,2,29.125,5
male,2,36.1005551884499,13,1
female,3,31,18,1
female,3,36.1005551884499,7.225,1
male,2,35,26,2
male,2,34,13,1
female,3,15,8.0292,1
male,1,28,35.5,1
female,3,8,21.075,4
female,3,38,31.3875,4
male,3,36.1005551884499,7.225,1
male,1,19,263,4
female,3,36.1005551884499,7.8792,1
male,3,36.1005551884499,7.8958,1
male,1,40,27.7208,1
female,1,36.1005551884499,146.5208,2
female,3,36.1005551884499,7.75,1
male,2,66,10.5,1
male,1,28,82.1708,2
male,1,42,52,2
male,3,36.1005551884499,7.2292,1
male,3,21,8.05,1
female,3,18,18,2
female,3,14,11.2417,2
female,3,40,9.475,1
female,2,27,21,2
male,3,36.1005551884499,7.8958,1
female,2,3,41.5792,3
female,3,19,7.8792,1
male,3,36.1005551884499,8.05,1
male,3,36.1005551884499,15.5,1
female,3,36.1005551884499,7.75,1
male,3,36.1005551884499,21.6792,1
female,3,18,17.8,2
male,3,7,39.6875,6
male,3,21,7.8,1
female,1,49,76.7292,3
female,2,29,26,1
male,1,65,61.9792,1
male,1,36.1005551884499,35.5,1
female,2,21,10.5,1
male,3,28.5,7.2292,1
female,2,5,27.75,3
male,3,11,46.9,6
male,3,22,7.2292,1
female,1,38,80,2
male,1,45,83.475,2
male,3,4,27.9,6
male,1,36.1005551884499,27.7208,1
male,3,36.1005551884499,15.2458,2
female,2,29,10.5,1
male,3,19,8.1583,1
female,3,17,7.925,1
male,3,26,8.6625,1
male,2,32,10.5,1
female,3,16,46.9,6
male,2,21,73.5,5
male,3,26,14.4542,1
male,3,32,56.4958,7
male,3,25,7.65,1
male,3,36.1005551884499,7.8958,1
male,3,36.1005551884499,8.05,1
male,2,0.83,29,2
female,3,30,12.475,2
male,3,22,9,1
male,3,29,9.5,1
female,3,36.1005551884499,7.7875,1
male,1,28,47.1,1
female,2,17,10.5,1
female,3,33,15.85,2
male,3,16,34.375,4
male,3,36.1005551884499,8.05,1
female,1,23,263,4
male,3,24,8.05,1
male,3,29,8.05,1
male,3,20,7.8542,1
male,1,46,61.175,1
male,3,26,20.575,2
male,3,59,7.25,1
male,3,36.1005551884499,8.05,1
male,1,71,34.6542,1
male,1,23,63.3583,1
female,2,34,23,2
male,2,34,26,2
female,3,28,7.8958,1
male,3,36.1005551884499,7.8958,1
male,1,21,77.2875,2
male,3,33,8.6542,1
male,3,37,7.925,1
male,3,28,7.8958,1
female,3,21,7.65,1
male,3,36.1005551884499,7.775,1
male,3,38,7.8958,1
female,3,36.1005551884499,24.15,3
male,1,47,52,2
female,3,14.5,14.4542,2
male,3,22,8.05,1
female,3,20,9.825,1
female,3,17,14.4583,2
male,3,21,7.925,1
male,3,70.5,7.75,1
male,2,29,21,2
male,1,24,247.5208,2
female,3,2,31.275,7
male,2,21,73.5,5
male,3,36.1005551884499,8.05,1
male,2,32.5,30.0708,2
female,2,32.5,13,1
male,1,54,77.2875,2
male,3,12,11.2417,2
male,3,36.1005551884499,7.75,1
male,3,24,7.1417,1
female,3,36.1005551884499,22.3583,2
male,3,45,6.975,1
male,3,33,7.8958,1
male,3,20,7.05,1
female,3,47,14.5,1
female,2,29,26,1
male,2,25,13,1
male,2,23,15.0458,1
female,1,19,26.2833,1
male,1,37,53.1,2
male,3,16,9.2167,2
male,1,24,79.2,2
female,3,36.1005551884499,15.2458,2
female,3,22,7.75,1
female,3,24,15.85,2
male,3,19,6.75,1
male,2,18,11.5,1
male,2,19,36.75,2
male,3,27,7.7958,1
female,3,9,34.375,4
male,2,36.5,26,3
male,2,42,13,1
male,2,51,12.525,1
female,1,22,66.6,2
male,3,55.5,8.05,1
male,3,40.5,14.5,1
male,3,36.1005551884499,7.3125,1
male,1,51,61.3792,1
female,3,16,7.7333,1
male,3,30,8.05,1
male,3,36.1005551884499,8.6625,1
male,3,36.1005551884499,69.55,7
male,3,44,16.1,1
female,2,40,15.75,1
male,3,26,7.775,1
male,3,17,8.6625,1
male,3,1,39.6875,6
male,3,9,20.525,3
female,1,36.1005551884499,55,2
female,3,45,27.9,6
male,1,36.1005551884499,25.925,1
male,3,28,56.4958,7
male,1,61,33.5,1
male,3,4,29.125,5
female,3,1,11.1333,3
male,3,21,7.925,1
male,1,56,30.6958,1
male,3,18,7.8542,1
male,3,36.1005551884499,25.4667,4
female,1,50,28.7125,1
male,2,30,13,1
male,3,36,0,4
female,3,36.1005551884499,69.55,7
male,2,36.1005551884499,15.05,1
male,3,9,31.3875,4
male,2,1,39,2
female,3,4,22.025,1
male,1,36.1005551884499,50,1
female,3,36.1005551884499,15.5,2
male,1,45,26.55,1
male,3,40,15.5,2
male,3,36,7.8958,1
female,2,32,13,1
male,2,19,13,1
female,3,19,7.8542,1
male,2,3,26,3
female,1,44,27.7208,1
female,1,58,146.5208,2
male,3,36.1005551884499,7.75,1
male,3,42,8.4042,1
female,3,36.1005551884499,7.75,1
female,2,24,13,1
male,3,28,9.5,1
male,3,36.1005551884499,69.55,7
male,3,34,6.4958,1
male,3,45.5,7.225,1
male,3,18,8.05,1
female,3,2,10.4625,2
male,3,32,15.85,2
male,3,26,18.7875,2
female,3,16,7.75,1
male,1,40,31,1
male,3,24,7.05,1
female,2,35,21,1
male,3,22,7.25,1
male,2,30,13,1
male,3,36.1005551884499,7.75,1
female,1,31,113.275,3
female,3,27,7.925,1
male,2,42,27,2
female,1,32,76.2917,1
male,2,30,10.5,1
male,3,16,8.05,1
male,2,27,13,1
male,3,51,8.05,1
male,3,36.1005551884499,7.8958,1
male,1,38,90,2
male,3,22,9.35,1
male,2,19,10.5,1
male,3,20.5,7.25,1
male,2,18,13,1
female,3,36.1005551884499,25.4667,4
female,1,35,83.475,2
male,3,29,7.775,1
male,2,59,13.5,1
female,3,5,31.3875,4
male,2,24,10.5,1
female,3,36.1005551884499,7.55,1
male,2,44,26,1
female,2,8,26.25,3
male,2,19,10.5,1
male,2,33,12.275,1
female,3,36.1005551884499,14.4542,2
female,3,36.1005551884499,15.5,2
male,2,29,10.5,1
male,3,22,7.125,1
male,3,30,7.225,1
male,1,44,90,2
female,3,25,7.775,1
female,2,24,14.5,2
male,1,37,52.5542,2
male,2,54,26,2
male,3,36.1005551884499,7.25,1
female,3,29,10.4625,2
male,1,62,26.55,1
male,3,30,16.1,2
female,3,41,20.2125,2
female,3,29,15.2458,1
female,1,36.1005551884499,79.2,1
female,1,30,86.5,3
female,1,35,512.3292,3
female,2,50,26,2
male,3,36.1005551884499,7.75,1
male,3,3,31.3875,4
male,1,52,79.65,3
male,1,40,0,1
female,3,36.1005551884499,7.75,1
male,2,36,10.5,1
male,3,16,39.6875,6
male,3,25,7.775,1
female,1,58,153.4625,3
female,1,35,135.6333,3
male,1,36.1005551884499,31,2
male,3,25,0,4
female,2,41,19.5,2
male,1,37,29.7,1
female,3,36.1005551884499,7.75,1
female,1,63,77.9583,3
female,3,45,7.75,1
male,2,36.1005551884499,0,3
male,3,7,29.125,5
female,3,35,20.25,2
male,3,65,7.75,1
male,3,28,7.8542,1
male,3,16,9.5,1
male,3,19,8.05,1
male,1,36.1005551884499,26,1
male,3,33,8.6625,1
male,3,30,9.5,1
male,3,22,7.8958,1
male,2,42,13,1
female,3,22,7.75,1
female,1,26,78.85,2
female,1,19,91.0792,2
male,2,36,12.875,1
female,3,24,8.85,1
male,3,24,7.8958,1
male,1,36.1005551884499,27.7208,1
male,3,23.5,7.2292,1
female,1,2,151.55,4
male,1,36.1005551884499,30.5,1
female,1,50,247.5208,2
female,3,36.1005551884499,7.75,1
male,3,36.1005551884499,23.25,2
male,3,19,0,4
female,2,36.1005551884499,12.35,1
male,3,36.1005551884499,8.05,1
male,1,0.92,151.55,4
female,1,36.1005551884499,110.8833,4
female,1,17,108.9,2
male,2,30,24,2
female,1,30,56.9292,2
female,1,24,83.1583,2
female,1,18,262.375,2
female,2,26,26,1
male,3,28,7.8958,1
male,2,43,26.25,3
female,3,26,7.8542,1
female,2,24,26,2
male,2,54,14,1
female,1,31,164.8667,2
female,1,40,134.5,2
male,3,22,7.25,1
male,3,27,7.8958,1
female,2,30,12.35,1
female,2,22,29,2
male,3,36.1005551884499,69.55,7
female,1,36,135.6333,3
male,3,61,6.2375,1
female,2,36,13,1
female,3,31,20.525,3
female,1,16,57.9792,2
female,3,36.1005551884499,23.25,2
male,1,45.5,28.5,1
male,1,38,153.4625,3
male,3,16,18,2
female,1,36.1005551884499,133.65,2
male,3,36.1005551884499,7.8958,1
male,1,29,66.6,2
female,1,41,134.5,2
male,3,45,8.05,1
male,1,45,35.5,1
male,2,2,26,3
female,1,24,263,4
male,2,28,13,1
male,2,25,13,1
male,2,36,13,1
female,2,24,13,1
female,2,40,13,1
female,3,36.1005551884499,16.1,1
male,3,3,15.9,2
male,3,42,8.6625,1
male,3,23,9.225,1
male,1,36.1005551884499,35,1
male,3,15,7.2292,1
male,3,25,17.8,2
male,3,36.1005551884499,7.225,1
male,3,28,9.5,1
female,1,22,55,2
female,2,38,13,1
female,3,36.1005551884499,7.8792,1
female,3,36.1005551884499,7.8792,1
male,3,40,27.9,6
male,2,29,27.7208,1
female,3,45,14.4542,2
male,3,35,7.05,1
male,3,36.1005551884499,15.5,2
male,3,30,7.25,1
female,1,60,75.25,1
female,3,36.1005551884499,7.2292,1
female,3,36.1005551884499,7.75,1
female,1,24,69.3,2
male,1,25,55.4417,1
male,3,18,6.4958,1
male,3,19,8.05,1
male,1,22,135.6333,3
female,3,3,21.075,4
female,1,36.1005551884499,82.1708,2
female,3,22,7.25,1
male,1,27,211.5,1
male,3,20,4.0125,1
male,3,19,7.775,1
female,1,42,227.525,4
female,3,1,15.7417,2
male,3,32,7.925,1
female,1,35,52,2
male,3,36.1005551884499,7.8958,1
male,2,18,73.5,5
male,3,1,46.9,6
female,2,36,13,1
male,3,36.1005551884499,7.7292,1
female,2,17,12,1
male,1,36,120,4
male,3,21,7.7958,1
male,3,28,7.925,1
female,1,23,113.275,3
female,3,24,16.7,2
male,3,22,7.7958,1
female,3,31,7.8542,1
male,2,46,26,2
male,2,23,10.5,1
female,2,28,12.65,1
male,3,39,7.925,1
male,3,26,8.05,1
female,3,21,9.825,1
male,3,28,15.85,2
female,3,20,8.6625,1
male,2,34,21,1
male,3,51,7.75,1
male,2,3,18.75,3
male,3,21,7.775,1
female,3,36.1005551884499,25.4667,4
male,3,36.1005551884499,7.8958,1
male,3,36.1005551884499,6.8583,1
female,1,33,90,2
male,2,36.1005551884499,0,3
male,3,44,7.925,1
female,3,36.1005551884499,8.05,1
female,2,34,32.5,1
female,2,18,13,1
male,2,30,13,1
female,3,10,24.15,3
male,3,36.1005551884499,7.8958,1
male,3,21,7.7333,1
male,3,29,7.875,1
female,3,28,14.4,2
male,3,18,20.2125,2
male,3,36.1005551884499,7.25,1
female,2,28,26,1
female,2,19,26,2
male,3,36.1005551884499,7.75,1
male,3,32,8.05,1
male,1,28,26.55,1
female,3,36.1005551884499,16.1,2
female,2,42,26,1
male,3,17,7.125,1
male,1,50,55.9,2
female,1,14,120,4
female,3,21,34.375,4
female,2,24,18.75,3
male,1,64,263,4
male,2,31,10.5,1
female,2,45,26.25,3
male,3,20,9.5,1
male,3,25,7.775,1
female,2,28,13,1
male,3,36.1005551884499,8.1125,1
male,1,4,81.8583,1
female,2,13,19.5,2
male,1,34,26.55,1
female,3,5,19.2583,4
male,1,52,30.5,1
male,2,36,27.75,3
male,3,36.1005551884499,19.9667,1
male,1,30,27.75,1
male,1,49,89.1042,2
male,3,36.1005551884499,8.05,1
male,3,29,7.8958,1
male,1,65,26.55,1
female,1,36.1005551884499,51.8625,1
female,2,50,10.5,1
male,3,36.1005551884499,7.75,1
male,1,48,26.55,1
male,3,34,8.05,1
male,1,47,38.5,1
male,2,48,13,1
male,3,36.1005551884499,8.05,1
male,3,38,7.05,1
male,2,36.1005551884499,0,3
male,1,56,26.55,1
male,3,36.1005551884499,7.725,1
female,3,0.75,19.2583,4
male,3,36.1005551884499,7.25,1
male,3,38,8.6625,1
female,2,33,27.75,3
female,2,23,13.7917,1
female,3,22,9.8375,1
male,1,36.1005551884499,52,2
male,2,34,21,2
male,3,29,7.0458,1
male,3,22,7.5208,1
female,3,2,12.2875,1
male,3,9,46.9,6
male,2,36.1005551884499,0,1
male,3,50,8.05,1
female,3,63,9.5875,1
male,1,25,91.0792,2
female,3,36.1005551884499,25.4667,4
female,1,35,90,2
male,1,58,29.7,1
male,3,30,8.05,1
male,3,9,15.9,2
male,3,36.1005551884499,19.9667,1
male,3,21,7.25,1
male,1,55,30.5,1
male,1,71,49.5042,1
male,3,21,8.05,1
male,3,36.1005551884499,14.4583,2
female,1,54,78.2667,2
male,3,36.1005551884499,15.1,1
female,1,25,151.55,4
male,3,24,7.7958,1
male,3,17,8.6625,1
female,3,21,7.75,1
female,3,36.1005551884499,7.6292,1
female,3,37,9.5875,1
female,1,16,86.5,3
male,1,18,108.9,2
female,2,33,26,2
male,1,36.1005551884499,26.55,1
male,3,28,22.525,1
male,3,26,56.4958,7
male,3,29,7.75,1
male,3,36.1005551884499,8.05,1
male,1,36,26.2875,1
female,1,54,59.4,1
male,3,24,7.4958,1
male,1,47,34.0208,1
female,2,34,10.5,1
male,3,36.1005551884499,24.15,3
female,2,36,26,1
male,3,32,7.8958,1
female,1,30,93.5,2
male,3,22,7.8958,1
male,3,36.1005551884499,7.225,1
female,1,44,57.9792,2
male,3,36.1005551884499,7.2292,1
male,3,40.5,7.75,1
female,2,50,10.5,1
male,1,36.1005551884499,221.7792,1
male,3,39,7.925,1
male,2,23,11.5,1
female,2,2,26,2
male,3,36.1005551884499,7.2292,1
male,3,17,7.2292,1
female,3,36.1005551884499,22.3583,2
female,3,30,8.6625,1
female,2,7,26.25,3
male,1,45,26.55,1
female,1,30,106.425,2
male,3,36.1005551884499,14.5,1
female,1,22,49.5,1
female,1,36,71,2
female,3,9,31.275,7
female,3,11,31.275,7
male,2,32,26,2
male,1,50,106.425,2
male,1,64,26,1
female,2,19,26,2
male,2,36.1005551884499,13.8625,1
male,3,33,20.525,3
male,2,8,36.75,2
male,1,17,110.8833,4
male,2,27,26,1
male,3,36.1005551884499,7.8292,1
male,3,22,7.225,1
female,3,22,7.775,1
male,1,62,26.55,1
female,1,48,39.6,1
male,1,36.1005551884499,227.525,4
female,1,39,79.65,3
female,3,36,17.4,1
male,3,36.1005551884499,7.75,1
male,3,40,7.8958,1
male,2,28,13.5,1
male,3,36.1005551884499,8.05,1
female,3,36.1005551884499,8.05,1
male,3,24,24.15,2
male,3,19,7.8958,1
female,3,29,21.075,4
male,3,36.1005551884499,7.2292,1
male,3,32,7.8542,1
male,2,62,10.5,1
female,1,53,51.4792,1
male,1,36,26.3875,1
female,3,36.1005551884499,7.75,1
male,3,16,8.05,1
male,3,19,14.5,2
female,2,34,13,1
female,1,39,55.9,2
female,3,36.1005551884499,14.4583,1
male,3,32,7.925,1
female,2,25,30,1
female,1,39,110.8833,4
male,2,54,26,2
male,1,36,40.125,1
male,3,36.1005551884499,8.7125,1
female,1,18,79.65,3
male,2,47,15,1
male,1,60,79.2,1
male,3,22,8.05,1
male,3,36.1005551884499,8.05,1
male,3,35,7.125,1
female,1,52,78.2667,2
male,3,47,7.25,1
female,3,36.1005551884499,7.75,1
male,2,37,26,1
male,3,36,24.15,3
female,2,36.1005551884499,33,3
male,3,49,0,4
male,3,36.1005551884499,7.225,1
male,1,49,56.9292,2
female,2,24,27,2
male,3,36.1005551884499,7.8958,1
male,1,36.1005551884499,42.4,1
male,3,44,8.05,1
male,1,35,26.55,1
male,3,36,15.55,1
male,3,30,7.8958,1
male,1,27,30.5,1
female,2,22,41.5792,3
female,1,40,153.4625,3
female,3,39,31.275,7
male,3,36.1005551884499,7.05,1
female,3,36.1005551884499,15.5,2
male,3,36.1005551884499,7.75,1
male,3,35,8.05,1
female,2,24,65,2
male,3,34,14.4,2
female,3,26,16.1,2
female,2,4,39,2
male,2,26,10.5,1
male,3,27,14.4542,2
male,1,42,52.5542,1
male,3,20,15.7417,2
male,3,21,7.8542,1
male,3,21,16.1,2
male,1,61,32.3208,1
male,2,57,12.35,1
female,1,21,77.9583,3
male,3,26,7.8958,1
male,3,36.1005551884499,7.7333,1
male,1,80,30,1
male,3,51,7.0542,1
male,1,32,30.5,1
male,1,36.1005551884499,0,1
female,3,9,27.9,6
female,2,28,13,1
male,3,32,7.925,1
male,2,31,26.25,3
female,3,41,39.6875,6
male,3,36.1005551884499,16.1,2
male,3,20,7.8542,1
female,1,24,69.3,2
female,3,2,27.9,6
male,3,36.1005551884499,56.4958,7
female,3,0.75,19.2583,4
male,1,48,76.7292,3
male,3,19,7.8958,1
male,1,56,35.5,1
male,3,36.1005551884499,7.55,1
female,3,23,7.55,1
male,3,36.1005551884499,7.8958,1
female,2,18,23,2
male,3,21,8.4333,1
female,3,36.1005551884499,7.8292,1
female,3,18,6.75,1
male,2,24,73.5,5
male,3,36.1005551884499,7.8958,1
female,3,32,15.5,2
male,2,23,13,1
male,1,58,113.275,3
male,1,50,133.65,2
male,3,40,7.225,1
male,1,47,25.5875,1
male,3,36,7.4958,1
male,3,20,7.925,1
male,2,32,73.5,5
male,2,25,13,1
male,3,36.1005551884499,7.775,1
male,3,43,8.05,1
female,1,36.1005551884499,52,2
female,2,40,39,2
male,1,31,52,1
male,2,70,10.5,1
male,2,31,13,1
male,2,36.1005551884499,0,1
male,3,18,7.775,1
male,3,24.5,8.05,1
female,3,18,9.8417,1
female,3,43,46.9,6
male,1,36,512.3292,3
female,3,36.1005551884499,8.1375,1
male,1,27,76.7292,3
male,3,20,9.225,1
male,3,14,46.9,6
male,2,60,39,2
male,2,25,41.5792,3
male,3,14,39.6875,6
male,3,19,10.1708,1
male,3,18,7.7958,1
female,1,15,211.3375,3
male,1,31,57,2
female,3,4,13.4167,1
male,3,36.1005551884499,56.4958,7
male,3,25,7.225,1
male,1,60,26.55,1
male,2,52,13.5,1
male,3,44,8.05,1
female,3,36.1005551884499,7.7333,1
male,1,49,110.8833,4
male,3,42,7.65,1
female,1,18,227.525,4
male,1,35,26.2875,1
female,3,18,14.4542,2
male,3,25,7.7417,1
male,3,26,7.8542,1
male,2,39,26,2
female,2,45,13.5,1
male,1,42,26.2875,1
female,1,22,151.55,4
male,3,36.1005551884499,15.2458,2
female,1,24,49.5042,1
male,1,36.1005551884499,26.55,1
male,1,48,52,2
male,3,29,9.4833,1
male,2,52,13,2
male,3,19,7.65,1
female,1,38,227.525,4
female,2,27,10.5,1
male,3,36.1005551884499,15.5,1
male,3,33,7.775,1
female,2,6,33,3
male,3,17,7.0542,1
male,2,34,13,1
male,2,50,13,1
male,1,27,53.1,2
male,3,20,8.6625,1
female,2,30,21,2
female,3,36.1005551884499,7.7375,1
male,2,25,26,1
female,3,25,7.925,1
female,1,29,211.3375,3
male,3,11,18.7875,2
male,2,36.1005551884499,0,1
male,2,23,13,1
male,2,23,13,1
male,3,28.5,16.1,2
female,3,48,34.375,4
male,1,35,512.3292,3
male,3,36.1005551884499,7.8958,1
male,3,36.1005551884499,7.8958,1
male,1,36.1005551884499,30,1
male,1,36,78.85,2
female,1,21,262.375,2
male,3,24,16.1,1
male,3,31,7.925,1
male,1,70,71,2
male,3,16,20.25,2
female,2,30,13,1
male,1,19,53.1,1
male,3,31,7.75,1
female,2,4,23,1
male,3,6,12.475,2
male,3,33,9.5,1
male,3,23,7.8958,1
female,2,48,65,2
male,2,0.67,14.5,2
male,3,28,7.7958,1
male,2,18,11.5,1
male,3,34,8.05,1
female,1,33,86.5,3
male,3,36.1005551884499,14.5,2
male,3,41,7.125,1
male,3,20,7.2292,1
female,1,36,120,4
male,3,16,7.775,1
female,1,51,77.9583,3
male,1,36.1005551884499,39.6,1
female,3,30.5,7.75,1
male,3,36.1005551884499,24.15,3
male,3,32,8.3625,1
male,3,24,9.5,1
male,3,48,7.8542,1
female,2,57,10.5,2
male,3,36.1005551884499,7.225,1
female,2,54,23,1
male,3,18,7.75,1
male,3,36.1005551884499,7.75,1
female,3,5,12.475,2
male,3,36.1005551884499,7.7375,1
female,1,43,211.3375,3
female,3,13,7.2292,1
female,1,17,57,2
male,1,29,30,1
male,3,36.1005551884499,23.45,2
male,3,25,7.05,1
male,3,25,7.25,1
female,3,18,7.4958,1
male,3,8,29.125,5
male,3,1,20.575,2
male,1,46,79.2,2
male,3,36.1005551884499,7.75,1
male,2,16,26,2
female,3,36.1005551884499,69.55,7
male,1,36.1005551884499,30.6958,1
male,3,25,7.8958,1
male,2,39,13,1
female,1,49,25.9292,1
female,3,31,8.6833,1
male,3,30,7.2292,1
female,3,30,24.15,3
male,2,34,13,2
female,2,31,26.25,3
male,1,11,120,4
male,3,0.42,8.5167,1
male,3,27,6.975,1
male,3,31,7.775,1
male,1,39,0,1
female,3,18,7.775,1
male,2,39,13,1
female,1,33,53.1,2
male,3,26,7.8875,1
male,3,39,24.15,2
male,2,35,10.5,1
female,3,6,31.275,7
male,3,30.5,8.05,1
male,1,36.1005551884499,0,1
female,3,23,7.925,1
male,2,31,37.0042,2
male,3,43,6.45,1
male,3,10,27.9,6
female,1,52,93.5,2
male,3,27,8.6625,1
male,1,38,0,1
female,3,27,12.475,2
male,3,2,39.6875,6
male,3,36.1005551884499,6.95,1
male,3,36.1005551884499,56.4958,7
male,2,1,37.0042,2
male,3,36.1005551884499,7.75,1
female,1,62,80,2
female,3,15,14.4542,2
male,2,0.83,18.75,3
male,3,36.1005551884499,7.2292,1
male,3,23,7.8542,1
male,3,18,8.3,1
female,1,39,83.1583,1
male,3,21,8.6625,1
male,3,36.1005551884499,8.05,1
male,3,32,56.4958,7
male,1,36.1005551884499,29.7,1
male,3,20,7.925,1
male,2,16,10.5,2
female,1,30,31,2
male,3,34.5,6.4375,1
male,3,17,8.6625,1
male,3,42,7.55,1
male,3,36.1005551884499,69.55,7
male,3,35,7.8958,1
male,2,28,33,3
female,1,36.1005551884499,89.1042,2
male,3,4,31.275,7
male,3,74,7.775,1
female,3,9,15.2458,2
female,1,16,39.4,1
female,2,44,26,2
female,3,18,9.35,1
female,1,45,164.8667,2
male,1,51,26.55,1
female,3,24,19.2583,4
male,3,36.1005551884499,7.2292,1
male,3,41,14.1083,1
male,2,21,11.5,1
female,1,48,25.9292,1
female,3,36.1005551884499,69.55,7
male,2,24,13,1
female,2,42,13,1
female,2,27,13.8583,1
male,1,31,50.4958,1
male,3,36.1005551884499,9.5,1
male,3,4,11.1333,3
male,3,26,7.8958,1
female,1,47,52.5542,2
male,1,33,5,1
male,3,47,9,1
female,2,28,24,2
female,3,15,7.225,1
male,3,20,9.8458,2
male,3,19,7.8958,1
male,3,36.1005551884499,7.8958,1
female,1,56,83.1583,2
female,2,25,26,2
male,3,33,7.8958,1
female,3,22,10.5167,1
male,2,28,10.5,1
male,3,25,7.05,1
female,3,39,29.125,5
male,2,27,13,1
female,1,19,30,1
female,3,36.1005551884499,23.45,2
male,1,26,30,1
male,3,32,7.75,1
